id,wine_searcher_id,description,vintage,name,url,region,region_image,origin,grape_variety,image,producer,average_price,min_price,wine_type,wine_style,offers,query,offer_1,offer_2,offer_3
214209_2007,214209,,2007,2007 Charles Smith K Vintners Columbia Valley Syrah,https://www.wine-searcher.com/find/charles+smith+k+vintner+sra+columbia+valley+washington+usa/2007/usa,Columbia Valley,https://www.wine-searcher.com/images/region/columbia-valley-781-1-1.jpg?width=131&height=149&fit=crop,"Columbia Valley, USA",Shiraz and Syrah,https://www.wine-searcher.com/images/labels/65/43/charles-smith-k-vintners-columbia-valley-syrah-10336543.jpg,House of Smith,54.0,34.99,Red,Bold and Structured,"[{'price': 34.99, 'unit_price': 34.99, 'description': 'K Vintners Syrah, K Vintners, Washington, 750ml', 'seller_name': ""Stew Leonard's Wines of Norwalk"", 'url': 'https://shoponline.stewswines.com/shop/?product-id=65f363d6152a2f609a4c781c', 'name': None, 'seller_address_region': 'Norwalk', 'seller_address_country': 'USA'}, {'price': 34.99, 'unit_price': 34.99, 'description': 'K Vintners Syrah, K Vintners, Washington, 750ml', 'seller_name': ""Stew Leonard's Wines of Clifton"", 'url': 'https://clifton.stewswines.com/shop/?product-id=65f363d6152a2f609a4c781c', 'name': None, 'seller_address_region': 'Clifton', 'seller_address_country': 'USA'}, {'price': 34.99, 'unit_price': 34.99, 'description': 'K Vintners Syrah, K Vintners, Washington, 750ml', 'seller_name': ""Stew Leonard's Wines Danbury"", 'url': 'https://stewswines.com/shop/?product-id=65f363d6152a2f609a4c781c', 'name': None, 'seller_address_region': 'Danbury', 'seller_address_country': 'USA'}, {'price': 34.99, 'unit_price': 34.99, 'description': 'K Vintners Syrah, K Vintners, Washington, 750ml', 'seller_name': ""Stew Leonard's Wines of Paramus"", 'url': 'https://paramus.stewswines.com/shop/?product-id=65f363d6152a2f609a4c781c', 'name': None, 'seller_address_region': 'Paramus', 'seller_address_country': 'USA'}, {'price': 55.0, 'unit_price': 55.0, 'description': 'Charles Smith Syrah 2012, CA Red Wine', 'seller_name': 'Courtier', 'url': 'https://courtierwines.com/product/charles-smith-syrah-2012/', 'name': None, 'seller_address_region': 'San Francisco', 'seller_address_country': 'USA'}]",K Vintners Syrah 2007,"{'price': 34.99, 'unit_price': 34.99, 'description': 'K Vintners Syrah, K Vintners, Washington, 750ml', 'seller_name': ""Stew Leonard's Wines of Norwalk"", 'url': 'https://shoponline.stewswines.com/shop/?product-id=65f363d6152a2f609a4c781c', 'name': None, 'seller_address_region': 'Norwalk', 'seller_address_country': 'USA'}","{'price': 34.99, 'unit_price': 34.99, 'description': 'K Vintners Syrah, K Vintners, Washington, 750ml', 'seller_name': ""Stew Leonard's Wines of Clifton"", 'url': 'https://clifton.stewswines.com/shop/?product-id=65f363d6152a2f609a4c781c', 'name': None, 'seller_address_region': 'Clifton', 'seller_address_country': 'USA'}","{'price': 34.99, 'unit_price': 34.99, 'description': 'K Vintners Syrah, K Vintners, Washington, 750ml', 'seller_name': ""Stew Leonard's Wines Danbury"", 'url': 'https://stewswines.com/shop/?product-id=65f363d6152a2f609a4c781c', 'name': None, 'seller_address_region': 'Danbury', 'seller_address_country': 'USA'}"
65357_2012,65357,"Producer tasting notes: "". It is a wine that is designed to be fresh with some mineral notes and lots of fruit. A great, pure white wine that exhales aromas of citrus fruit and jasmin."" -",2012,2012 Chateau de Chantegrive Blanc,https://www.wine-searcher.com/find/de+chantegrive+blanc+graves+bordeaux+france/2012/usa,Graves,https://www.wine-searcher.com/images/region/graves-894-1-2.jpg?width=131&height=149&fit=crop,"Graves, France",Sauvignon Blanc - Semillon,https://www.wine-searcher.com/images/labels/52/73/chateau-de-chantegrive-blanc-graves-france-10685273.jpg,Chateau de Chantegrive,20.0,19.99,White,Green and Flinty,"[{'price': 19.99, 'unit_price': 19.99, 'description': 'Chateau de Chantegrive - Graves White 2012 (750ml)', 'seller_name': 'Shoppers Vineyard', 'url': 'https://www.shoppersvineyard.com/wines/Ch-teau-de-Chantegrive-Graves-White-2012-w5591583vs', 'name': None, 'seller_address_region': 'Clifton', 'seller_address_country': 'USA'}]",Chateau de Chantegrieve Blanc 2012,"{'price': 19.99, 'unit_price': 19.99, 'description': 'Chateau de Chantegrive - Graves White 2012 (750ml)', 'seller_name': 'Shoppers Vineyard', 'url': 'https://www.shoppersvineyard.com/wines/Ch-teau-de-Chantegrive-Graves-White-2012-w5591583vs', 'name': None, 'seller_address_region': 'Clifton', 'seller_address_country': 'USA'}",,
35560_2000,35560,,2000,2000 Chateau Bellevue-Mondotte,https://www.wine-searcher.com/find/bellevue+mondotte+st+emilion+grand+cru+bordeaux+france/2000/usa,Saint-Emilion Grand Cru,https://www.wine-searcher.com/images/region/saint-emilion-grand-cru-5972-1-3.jpg?width=131&height=149&fit=crop,"Saint-Emilion Grand Cru, France",Bordeaux Blend Red,https://www.wine-searcher.com/images/labels/58/63/chteau-bellevue-mondotte-box-2009-red-chteau-bellevue-10105863.jpg,,181.0,38.54,Red,Savory and Classic,"[{'price': 38.54, 'unit_price': 38.54, 'description': '2023, Chateau Tour Saint Christophe - Subskription-, Chateau Bellevue Mondotte, Frankreich, Bordeaux, Saint-Emilion', 'seller_name': None, 'url': None, 'name': None, 'seller_address_region': None, 'seller_address_country': None}, {'price': 102.33, 'unit_price': 102.33, 'description': 'Bellevue Mondotte 2020, Bordeaux, 750ml', 'seller_name': 'Wine Direct Hong Kong', 'url': 'http://www.winedirect.com.hk/eng/wine/3569/Bellevue-Mondotte-2020', 'name': None, 'seller_address_region': 'Hong Kong', 'seller_address_country': 'HONG-KONG'}, {'price': 118.04, 'unit_price': 118.04, 'description': 'Chateau Bellevue Mondotte [95pp], France, Bordeaux, Libournais, St. Emilion Grand Cru', 'seller_name': 'Swiss Wine Trading AG', 'url': 'https://www.swisswinetrading.com', 'name': None, 'seller_address_region': 'Zug', 'seller_address_country': 'SWITZERLAND'}, {'price': 120.0, 'unit_price': 120.0, 'description': '2021 Bellevue Mondotte Saint-Emilion Grand Cru, 750ml', 'seller_name': 'Wine Cellarage', 'url': 'https://winecellarage.com/wine/2021-bellevue-mondotte-saint-emilion-grand-cru-future-arrival-hub-10163582-1-DP/', 'name': None, 'seller_address_region': 'New York', 'seller_address_country': 'USA'}, {'price': 120.0, 'unit_price': 120.0, 'description': '2008 Bellevue Mondotte', 'seller_name': 'Sokolin Fine and Rare Wines', 'url': 'https://www.sokolin.com/2008-bellevue-mondotte?utm_source=Wine+Searcher+Feed&utm_medium=Product+Feed&utm_campaign=Products&sku=42034-750-XX4', 'name': None, 'seller_address_region': 'New York', 'seller_address_country': 'USA'}]",Chateau Bellevue Mondotte 2000,"{'price': 38.54, 'unit_price': 38.54, 'description': '2023, Chateau Tour Saint Christophe - Subskription-, Chateau Bellevue Mondotte, Frankreich, Bordeaux, Saint-Emilion', 'seller_name': None, 'url': None, 'name': None, 'seller_address_region': None, 'seller_address_country': None}","{'price': 102.33, 'unit_price': 102.33, 'description': 'Bellevue Mondotte 2020, Bordeaux, 750ml', 'seller_name': 'Wine Direct Hong Kong', 'url': 'http://www.winedirect.com.hk/eng/wine/3569/Bellevue-Mondotte-2020', 'name': None, 'seller_address_region': 'Hong Kong', 'seller_address_country': 'HONG-KONG'}","{'price': 118.04, 'unit_price': 118.04, 'description': 'Chateau Bellevue Mondotte [95pp], France, Bordeaux, Libournais, St. Emilion Grand Cru', 'seller_name': 'Swiss Wine Trading AG', 'url': 'https://www.swisswinetrading.com', 'name': None, 'seller_address_region': 'Zug', 'seller_address_country': 'SWITZERLAND'}"
38784_2016,38784,Second label of Chateau Rieussec,2016,2016 Chateau Rieussec 'Les Carmes de Rieussec',https://www.wine-searcher.com/find/rieussec+les+carmes+de+sauternes+bordeaux+france/2016/usa,Sauternes,https://www.wine-searcher.com/images/region/sauternes-4188-1-4.jpg?width=131&height=149&fit=crop,"Sauternes, France",Sauvignon Blanc - Semillon,https://www.wine-searcher.com/images/labels/57/68/chateau-rieussec-les-carmes-de-rieussec-sauternes-france-11735768.jpg,Chateau Rieussec,34.0,29.0,Dessert,Lush and Balanced,"[{'price': 19.99, 'unit_price': 39.98, 'description': '2016 Carmes de Rieussec', 'seller_name': 'Sokolin Fine and Rare Wines', 'url': 'https://www.sokolin.com/2016-carmes-de-rieussec?utm_source=Wine+Searcher+Feed&utm_medium=Product+Feed&utm_campaign=Products&sku=105700-375-AI', 'name': None, 'seller_address_region': 'New York', 'seller_address_country': 'USA'}, {'price': 32.99, 'unit_price': 65.98, 'description': 'Chateau Rieussec Carmes de Rieussec Sauternes, 1x375ml', 'seller_name': 'GrandWineCellar.com', 'url': 'https://www.grandwinecellar.com/products/chateau-rieussec-carmes-de-rieussec-sauternes-2015', 'name': None, 'seller_address_region': 'Syosset', 'seller_address_country': 'USA'}, {'price': 41.6, 'unit_price': 41.6, 'description': ""Chateau Rieussec 'Les Carmes de Rieussec', Sauternes, France 2016, 750ml"", 'seller_name': 'Mr.D', 'url': 'https://www.mrdwine.com/products/chateau-rieussec-les-carmes-de-rieussec-sauternes-france-2016?variant=43468268634366', 'name': None, 'seller_address_region': 'Miami', 'seller_address_country': 'USA'}, {'price': 174.0, 'unit_price': 29.0, 'description': 'Carmes de Rieussec 2016 6 pack [Free Summer Storage], [Pre-arrival]', 'seller_name': 'Benchmark Wine Group', 'url': 'https://www.benchmarkwine.com/winery/5838-carmes-de-rieussec?matched_wine_ids=131341', 'name': None, 'seller_address_region': 'Napa', 'seller_address_country': 'USA'}, {'price': 180.0, 'unit_price': 30.0, 'description': '2016 Carmes de Rieussec Sauternes [Future Arrival], case of 6 x 750ml', 'seller_name': 'Wine Cellarage', 'url': 'https://winecellarage.com/wine/2016-carmes-de-rieussec-sauternes-future-arrival-101661720160600750/', 'name': None, 'seller_address_region': 'New York', 'seller_address_country': 'USA'}]",Carmes de Rieussec 2016,"{'price': 19.99, 'unit_price': 39.98, 'description': '2016 Carmes de Rieussec', 'seller_name': 'Sokolin Fine and Rare Wines', 'url': 'https://www.sokolin.com/2016-carmes-de-rieussec?utm_source=Wine+Searcher+Feed&utm_medium=Product+Feed&utm_campaign=Products&sku=105700-375-AI', 'name': None, 'seller_address_region': 'New York', 'seller_address_country': 'USA'}","{'price': 32.99, 'unit_price': 65.98, 'description': 'Chateau Rieussec Carmes de Rieussec Sauternes, 1x375ml', 'seller_name': 'GrandWineCellar.com', 'url': 'https://www.grandwinecellar.com/products/chateau-rieussec-carmes-de-rieussec-sauternes-2015', 'name': None, 'seller_address_region': 'Syosset', 'seller_address_country': 'USA'}","{'price': 41.6, 'unit_price': 41.6, 'description': ""Chateau Rieussec 'Les Carmes de Rieussec', Sauternes, France 2016, 750ml"", 'seller_name': 'Mr.D', 'url': 'https://www.mrdwine.com/products/chateau-rieussec-les-carmes-de-rieussec-sauternes-france-2016?variant=43468268634366', 'name': None, 'seller_address_region': 'Miami', 'seller_address_country': 'USA'}"
334949_2010,334949,,2010,2010 Pont des Arts Bourgogne Collection,https://www.wine-searcher.com/find/pont+de+art+bourgogne+collection+burgundy+france/2010/usa,Burgundy,https://www.wine-searcher.com/images/region/burgundy-8-1-2.jpg?width=131&height=149&fit=crop,"Burgundy, France",,https://www.wine-searcher.com/images/labels/82/56/pont-des-arts-bourgogne-collection-burgundy-france-10498256.jpg,Pont des Arts,795.0,542.72,,,"[{'price': 1221.16, 'unit_price': 542.72, 'description': 'Pont des Arts Collection Burgundy 2010 (Set of owc3) (1.5L)', 'seller_name': 'Y18 Elegant Spirits Ltd.', 'url': 'https://www.y18.hk/Pont-des-Arts-Collection-Burgundy-2010--(Set-of-owc3)-(1.5L)-LC22-X-01803?search=&sort=pd.name&order=ASC&page=99&limit=1000', 'name': None, 'seller_address_region': 'Hong Kong', 'seller_address_country': 'HONG-KONG'}, {'price': 1335.42, 'unit_price': 890.27, 'description': 'Pont des Arts Collection Burgundy Set of owc3)', 'seller_name': 'Altaya Wines', 'url': 'https://www.altayawines.com', 'name': None, 'seller_address_region': 'Hong Kong', 'seller_address_country': 'HONG-KONG'}, {'price': 4709.22, 'unit_price': 1569.72, 'description': 'Pont des Art Collection Pont des Arts 2010 (3L)', 'seller_name': 'Y18 Elegant Spirits Ltd.', 'url': 'https://www.y18.hk/Pont-des-Art-Collection-Pont-des-Arts-2010-(3L)-LC68-X-00405?search=&sort=pd.name&order=ASC&page=99&limit=1000', 'name': None, 'seller_address_region': 'Hong Kong', 'seller_address_country': 'HONG-KONG'}]",Pont Des Arts Collection 2010,"{'price': 1221.16, 'unit_price': 542.72, 'description': 'Pont des Arts Collection Burgundy 2010 (Set of owc3) (1.5L)', 'seller_name': 'Y18 Elegant Spirits Ltd.', 'url': 'https://www.y18.hk/Pont-des-Arts-Collection-Burgundy-2010--(Set-of-owc3)-(1.5L)-LC22-X-01803?search=&sort=pd.name&order=ASC&page=99&limit=1000', 'name': None, 'seller_address_region': 'Hong Kong', 'seller_address_country': 'HONG-KONG'}","{'price': 1335.42, 'unit_price': 890.27, 'description': 'Pont des Arts Collection Burgundy Set of owc3)', 'seller_name': 'Altaya Wines', 'url': 'https://www.altayawines.com', 'name': None, 'seller_address_region': 'Hong Kong', 'seller_address_country': 'HONG-KONG'}","{'price': 4709.22, 'unit_price': 1569.72, 'description': 'Pont des Art Collection Pont des Arts 2010 (3L)', 'seller_name': 'Y18 Elegant Spirits Ltd.', 'url': 'https://www.y18.hk/Pont-des-Art-Collection-Pont-des-Arts-2010-(3L)-LC68-X-00405?search=&sort=pd.name&order=ASC&page=99&limit=1000', 'name': None, 'seller_address_region': 'Hong Kong', 'seller_address_country': 'HONG-KONG'}"
11811_2017,11811,This producer also makes a white wine. Ensure your merchant has the color you are looking for.,2017,2017 Domaine du Pegau Chateauneuf-du-Pape Cuvee Reservee,https://www.wine-searcher.com/find/dom+du+pegau+chateauneuf+pape+cuvee+rsrv+rhone+france/2017/usa,Chateauneuf-du-Pape,https://www.wine-searcher.com/images/region/chateauneuf-du-pape-1026-1-2.jpg?width=131&height=149&fit=crop,"Chateauneuf-du-Pape, France",Southern Rhone Red Blend,https://www.wine-searcher.com/images/labels/74/93/domaine-du-pegau-chateauneuf-du-pape-cuvee-reservee-rhone-france-11737493.jpg,Pegau Domaine & Chateau,79.0,45.58,Red,Rich and Intense,"[{'price': 79.99, 'unit_price': 79.99, 'description': 'Domaine du Pegau Chateauneuf-du-Pape 2017 / 750 ml., France, Rhone', 'seller_name': 'WineMadeEasy.com (Prestige Wine)', 'url': 'https://www.winemadeeasy.com/wine/red-wine/grenache-garnacha/domaine-du-pegau-chateauneuf-du-pape-2017-750-ml-60603.html', 'name': None, 'seller_address_region': 'Orchard Park', 'seller_address_country': 'USA'}, {'price': 89.99, 'unit_price': 89.99, 'description': '2017 Domaine de Pegau Chateauneuf du Pape', 'seller_name': 'Mt. Carmel Wine & Spirits Co.', 'url': 'http://www.mtcarmelwine.com', 'name': None, 'seller_address_region': 'Hamden', 'seller_address_country': 'USA'}, {'price': 129.99, 'unit_price': 129.99, 'description': 'Pegau Chateauneuf-du-Pape Cuvee Reservee - 2017 (750ml)', 'seller_name': 'Schneiders of Capitol Hill', 'url': 'https://cellar.com/products/pegau-chateauneuf-du-pape-cuvee-reservee-2017-750ml', 'name': None, 'seller_address_region': 'Washington', 'seller_address_country': 'USA'}, {'price': 547.0, 'unit_price': 45.58, 'description': '2017 Domaine du Pegau Chateauneuf-du-Pape Cuvee Reservee Rouge', 'seller_name': 'Vint Wine & Spirits Marketplace', 'url': 'https://vintmarketplace.com/product/2017-domaine-du-pegau-chateauneuf-du-pape-cuvee-reservee-rouge-12x750ml-111511820171200750', 'name': None, 'seller_address_region': 'Washington DC', 'seller_address_country': 'USA'}, {'price': 668.0, 'unit_price': 55.67, 'description': '2017 Domaine du Pegau Chateauneuf-du-Pape Cuvee Reservee Rouge', 'seller_name': 'Larchmont Wine & Liquor', 'url': 'https://larchwine.com/product/2017-domaine-du-pegau-chateauneuf-du-pape-cuvee-reservee-rouge-12x750ml-111511820171200750', 'name': None, 'seller_address_region': 'Larchmont', 'seller_address_country': 'USA'}]",Domaine du Pegau Chateauneuf du Pape 2017,"{'price': 79.99, 'unit_price': 79.99, 'description': 'Domaine du Pegau Chateauneuf-du-Pape 2017 / 750 ml., France, Rhone', 'seller_name': 'WineMadeEasy.com (Prestige Wine)', 'url': 'https://www.winemadeeasy.com/wine/red-wine/grenache-garnacha/domaine-du-pegau-chateauneuf-du-pape-2017-750-ml-60603.html', 'name': None, 'seller_address_region': 'Orchard Park', 'seller_address_country': 'USA'}","{'price': 89.99, 'unit_price': 89.99, 'description': '2017 Domaine de Pegau Chateauneuf du Pape', 'seller_name': 'Mt. Carmel Wine & Spirits Co.', 'url': 'http://www.mtcarmelwine.com', 'name': None, 'seller_address_region': 'Hamden', 'seller_address_country': 'USA'}","{'price': 129.99, 'unit_price': 129.99, 'description': 'Pegau Chateauneuf-du-Pape Cuvee Reservee - 2017 (750ml)', 'seller_name': 'Schneiders of Capitol Hill', 'url': 'https://cellar.com/products/pegau-chateauneuf-du-pape-cuvee-reservee-2017-750ml', 'name': None, 'seller_address_region': 'Washington', 'seller_address_country': 'USA'}"
42414_1998,42414,Château Beauséjour was formerly fully titled Château Beauséjour-Duffau-Lagarrosse.,1998,1998 Chateau Beausejour J.Duffau-Lagarrosse,https://www.wine-searcher.com/find/beau+sejour+j+duffau+la+garosse+st+emilion+grand+cru+bordeaux+france/1998/usa,Saint-Emilion Grand Cru,https://www.wine-searcher.com/images/region/saint-emilion-grand-cru-5972-1-3.jpg?width=131&height=149&fit=crop,"Saint-Emilion Grand Cru, France",Bordeaux Blend Red,https://www.wine-searcher.com/images/labels/36/46/duffau-lagarrosse-chateau-beausejour-saint-emilion-grand-cru-france-11613646.jpg,Chateau Beausejour (Duffau-Lagarrosse),166.0,144.99,Red,Savory and Classic,"[{'price': 144.99, 'unit_price': 144.99, 'description': 'Chateau Beausejour (Duffau Lagarrosse) Saint Emilion 1998', 'seller_name': 'Flatiron Wines & Spirits - San Francisco', 'url': 'https://flatiron-wines-spirits.myshopify.com/products/chateau-beausejour-duffau-lagarrosse-saint-emilion-1998-750ml', 'name': None, 'seller_address_region': 'San Francisco', 'seller_address_country': 'USA'}, {'price': 166.0, 'unit_price': 166.0, 'description': '1998 Chateau Beausejour Heritiers Duffau-Lagarrosse, St. Emilion', 'seller_name': 'Wine Consigners, Inc.', 'url': 'https://wineconsigners.com/products/1998-chateau-beausejour-heritiers-duffau-lagarrosse-st-emilion', 'name': None, 'seller_address_region': 'Los Angeles', 'seller_address_country': 'USA'}, {'price': 175.0, 'unit_price': 175.0, 'description': '1998 Chateau Beausejour Duffau', 'seller_name': 'Mt. Carmel Wine & Spirits Co.', 'url': 'http://www.mtcarmelwine.com', 'name': None, 'seller_address_region': 'Hamden', 'seller_address_country': 'USA'}]",Chateau Beausejour Duffau Lagarrosse 1998,"{'price': 144.99, 'unit_price': 144.99, 'description': 'Chateau Beausejour (Duffau Lagarrosse) Saint Emilion 1998', 'seller_name': 'Flatiron Wines & Spirits - San Francisco', 'url': 'https://flatiron-wines-spirits.myshopify.com/products/chateau-beausejour-duffau-lagarrosse-saint-emilion-1998-750ml', 'name': None, 'seller_address_region': 'San Francisco', 'seller_address_country': 'USA'}","{'price': 166.0, 'unit_price': 166.0, 'description': '1998 Chateau Beausejour Heritiers Duffau-Lagarrosse, St. Emilion', 'seller_name': 'Wine Consigners, Inc.', 'url': 'https://wineconsigners.com/products/1998-chateau-beausejour-heritiers-duffau-lagarrosse-st-emilion', 'name': None, 'seller_address_region': 'Los Angeles', 'seller_address_country': 'USA'}","{'price': 175.0, 'unit_price': 175.0, 'description': '1998 Chateau Beausejour Duffau', 'seller_name': 'Mt. Carmel Wine & Spirits Co.', 'url': 'http://www.mtcarmelwine.com', 'name': None, 'seller_address_region': 'Hamden', 'seller_address_country': 'USA'}"
12276_1983,12276,"Critic tasting note: ""Close to death. It’s a good thing we opened it now and put it out of its misery. The hay and barnyard notes coupled with a short, tart finish were not appreciated. The best thing I could say about the wine was, it had a short finish allowing me to move on to better wine."" -",1983,1983 E. Guigal Cote Rotie Brune et Blonde de Guigal,https://www.wine-searcher.com/find/e+guigal+brune+blond+de+cote+rotie+rhone+france/1983/usa,Cote Rotie,https://www.wine-searcher.com/images/region/cote-rotie-1030-1-3.jpg?width=131&height=149&fit=crop,"Cote Rotie, France",Shiraz and Syrah,https://www.wine-searcher.com/images/labels/28/65/e-guigal-cote-rotie-brune-et-blonde-de-guigal-rhone-france-11472865.jpg,E. Guigal,195.0,195.0,Red,Bold and Structured,"[{'price': 195.0, 'unit_price': 195.0, 'description': 'Guigal Cote Rotie, E. Guigal, 1983 / 750ml / Rhone', 'seller_name': 'The Odd Wine Company', 'url': 'https://www.theoddwinecompany.com/products/guigal-cote-rotie?variant=45084423258357', 'name': None, 'seller_address_region': 'Santa Rosa', 'seller_address_country': 'USA'}]",E. Guigal Cote Rotie 1983,"{'price': 195.0, 'unit_price': 195.0, 'description': 'Guigal Cote Rotie, E. Guigal, 1983 / 750ml / Rhone', 'seller_name': 'The Odd Wine Company', 'url': 'https://www.theoddwinecompany.com/products/guigal-cote-rotie?variant=45084423258357', 'name': None, 'seller_address_region': 'Santa Rosa', 'seller_address_country': 'USA'}",,
69915_2020,69915,"Vineyard notes: ""Plot20 parcels of which 15 are in different locations: Fongeant, Côte Blonde, Landonne, Côte Rozier, Plomb, Chavaroche, Moutonnes, Lésardes, Gerine, Truchet, Leyat, Bonnivières, Côte Bodin, Tartaras, Rochins""",2020,2020 Domaine Jamet Cote Rotie,https://www.wine-searcher.com/find/dom+jamet+cote+rotie+rhone+france/2020/usa,Cote Rotie,https://www.wine-searcher.com/images/region/cote-rotie-1030-1-3.jpg?width=131&height=149&fit=crop,"Cote Rotie, France",Shiraz and Syrah,https://www.wine-searcher.com/images/labels/43/00/domaine-jamet-cote-rotie-rhone-france-11774300.jpg,Domaine Jamet,204.0,184.95,Red,Bold and Structured,"[{'price': 184.95, 'unit_price': 184.95, 'description': '2020 Jamet Cote Rotie, Cote-Rotie', 'seller_name': 'Crush Wine & Spirits', 'url': 'https://www.crushwineco.com/products/2020-jamet-cote-rotie?variant=41584910467131', 'name': None, 'seller_address_region': 'New York', 'seller_address_country': 'USA'}, {'price': 189.95, 'unit_price': 189.95, 'description': 'Jamet Cote-Rotie 2020', 'seller_name': 'Woodland Hills Wine Co.', 'url': 'https://whwc.com/products.php?productId=249208?utm_source=winesearcher&utm_medium=shoppingengine&utm_campaign=feeds&utm_content=Jamet+Cote-Rotie+2020', 'name': None, 'seller_address_region': 'Los Angeles', 'seller_address_country': 'USA'}, {'price': 198.0, 'unit_price': 198.0, 'description': '2020 Jamet - Cote Rotie', 'seller_name': 'European Wine Resource', 'url': 'https://www.europeanwineresource.com/wines/2020--Jamet-Cote-Rotie-w8439768n3', 'name': None, 'seller_address_region': 'Richmond', 'seller_address_country': 'USA'}, {'price': 199.98, 'unit_price': 199.98, 'description': 'Domaine Jamet - Cote-Rotie 2020', 'seller_name': 'Central Wine Merchants', 'url': 'https://www.centralwinemerchants.com/wines/Domaine-Jamet-Cote-Rotie-2020-w2818795fd', 'name': None, 'seller_address_region': 'Flemington', 'seller_address_country': 'USA'}, {'price': 199.99, 'unit_price': 199.99, 'description': 'Jean Paul & Jean Luc Jamet - Cote Rotie 2020 (750ml)', 'seller_name': 'The Wine and Cheese Place', 'url': 'https://www.wineandcheeseplace.com/wines/Jean-Paul-and-Jean-Luc-Jamet-Cote-Rotie-2020-w4320886ku', 'name': None, 'seller_address_region': 'St Louis', 'seller_address_country': 'USA'}]",J.L. Jamet Cote Rotie 2020,"{'price': 184.95, 'unit_price': 184.95, 'description': '2020 Jamet Cote Rotie, Cote-Rotie', 'seller_name': 'Crush Wine & Spirits', 'url': 'https://www.crushwineco.com/products/2020-jamet-cote-rotie?variant=41584910467131', 'name': None, 'seller_address_region': 'New York', 'seller_address_country': 'USA'}","{'price': 189.95, 'unit_price': 189.95, 'description': 'Jamet Cote-Rotie 2020', 'seller_name': 'Woodland Hills Wine Co.', 'url': 'https://whwc.com/products.php?productId=249208?utm_source=winesearcher&utm_medium=shoppingengine&utm_campaign=feeds&utm_content=Jamet+Cote-Rotie+2020', 'name': None, 'seller_address_region': 'Los Angeles', 'seller_address_country': 'USA'}","{'price': 198.0, 'unit_price': 198.0, 'description': '2020 Jamet - Cote Rotie', 'seller_name': 'European Wine Resource', 'url': 'https://www.europeanwineresource.com/wines/2020--Jamet-Cote-Rotie-w8439768n3', 'name': None, 'seller_address_region': 'Richmond', 'seller_address_country': 'USA'}"
334949_2012,334949,,2012,2012 Pont des Arts Bourgogne Collection,https://www.wine-searcher.com/find/pont+de+art+bourgogne+collection+burgundy+france/2012/usa,Burgundy,https://www.wine-searcher.com/images/region/burgundy-8-1-2.jpg?width=131&height=149&fit=crop,"Burgundy, France",,https://www.wine-searcher.com/images/labels/82/56/pont-des-arts-bourgogne-collection-burgundy-france-10498256.jpg,Pont des Arts,695.0,923.36,,,"[{'price': 2770.13, 'unit_price': 923.36, 'description': 'Pont des Art Collection Pont des Arts 2012 (3L)', 'seller_name': 'Y18 Elegant Spirits Ltd.', 'url': 'https://www.y18.hk/Pont-des-Art-Collection-Pont-des-Arts-2012-(3L)-LC68-X-00406?search=&sort=pd.name&order=ASC&page=99&limit=1000', 'name': None, 'seller_address_region': 'Hong Kong', 'seller_address_country': 'HONG-KONG'}]",Pont Des Arts Collection 2012,"{'price': 2770.13, 'unit_price': 923.36, 'description': 'Pont des Art Collection Pont des Arts 2012 (3L)', 'seller_name': 'Y18 Elegant Spirits Ltd.', 'url': 'https://www.y18.hk/Pont-des-Art-Collection-Pont-des-Arts-2012-(3L)-LC68-X-00406?search=&sort=pd.name&order=ASC&page=99&limit=1000', 'name': None, 'seller_address_region': 'Hong Kong', 'seller_address_country': 'HONG-KONG'}",,
